====
Starting job 9619505 at Tue 24 Feb 12:55:35 GMT 2026 for user dc-guan2.
Running on nodes: m8156
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.007500306765238444
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-02-24 12:55:49.715684 with 32 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [02:45, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-4.99e+6, acc=1, steps=1, eff=1]
Iter: 1it [02:45, 165.71s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-4.99e+6, acc=1, steps=1, eff=1]
Iter: 1it [05:25, 165.71s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-7.58e+6, acc=1, steps=1, eff=1]
Iter: 2it [05:25, 162.44s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-7.58e+6, acc=1, steps=1, eff=1]
Iter: 2it [08:01, 162.44s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-7.83e+6, acc=1, steps=1, eff=1]
Iter: 3it [08:01, 159.37s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-7.83e+6, acc=1, steps=1, eff=1]
Iter: 3it [10:34, 159.37s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-4.34e+6, acc=1, steps=1, eff=1]
Iter: 4it [10:34, 156.72s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-4.34e+6, acc=1, steps=1, eff=1]
Iter: 4it [13:12, 156.72s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-1.08e+7, acc=1, steps=1, eff=1]
Iter: 5it [13:12, 157.12s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-1.08e+7, acc=1, steps=1, eff=1]
Iter: 5it [15:44, 157.12s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-4.47e+6, acc=1, steps=1, eff=1]
Iter: 6it [15:44, 155.61s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-4.47e+6, acc=1, steps=1, eff=1]
Iter: 6it [18:30, 155.61s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-4.55e+6, acc=1, steps=1, eff=1]
Iter: 7it [18:30, 158.78s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-4.55e+6, acc=1, steps=1, eff=1]
Iter: 7it [21:12, 158.78s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-3.55e+6, acc=1, steps=1, eff=1]
Iter: 8it [21:12, 160.04s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-3.55e+6, acc=1, steps=1, eff=1]
Iter: 8it [23:50, 160.04s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-3.98e+6, acc=1, steps=1, eff=1]
Iter: 9it [23:50, 159.28s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-3.98e+6, acc=1, steps=1, eff=1]
Iter: 9it [26:19, 159.28s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-2.98e+6, acc=1, steps=1, eff=1]
Iter: 10it [26:19, 156.25s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-2.98e+6, acc=1, steps=1, eff=1]
Iter: 10it [28:37, 156.25s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-7.98e+6, acc=1, steps=1, eff=1]
Iter: 11it [28:37, 150.40s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-7.98e+6, acc=1, steps=1, eff=1]
Iter: 11it [31:01, 150.40s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-3.88e+6, acc=1, steps=1, eff=1]
Iter: 12it [31:01, 148.63s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-3.88e+6, acc=1, steps=1, eff=1]
Iter: 12it [33:30, 148.63s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-3.69e+6, acc=1, steps=1, eff=1]
Iter: 13it [33:30, 148.83s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-3.69e+6, acc=1, steps=1, eff=1]
Iter: 13it [35:45, 148.83s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-7.52e+6, acc=1, steps=1, eff=1]
Iter: 14it [35:45, 144.47s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-7.52e+6, acc=1, steps=1, eff=1]
Iter: 14it [38:09, 144.47s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-3.77e+6, acc=1, steps=1, eff=1]
Iter: 15it [38:09, 144.43s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-3.77e+6, acc=1, steps=1, eff=1]
Iter: 15it [40:27, 144.43s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-3.32e+6, acc=1, steps=1, eff=1]
Iter: 16it [40:27, 142.33s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-3.32e+6, acc=1, steps=1, eff=1]
Iter: 16it [42:51, 142.33s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-5.32e+6, acc=1, steps=1, eff=1]
Iter: 17it [42:51, 142.90s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-5.32e+6, acc=1, steps=1, eff=1]
Iter: 17it [45:13, 142.90s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-2.78e+6, acc=1, steps=1, eff=1]
Iter: 18it [45:13, 142.77s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-2.78e+6, acc=1, steps=1, eff=1]
Iter: 18it [47:53, 142.77s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-2.35e+6, acc=1, steps=1, eff=1]
Iter: 19it [47:53, 147.79s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-2.35e+6, acc=1, steps=1, eff=1]
Iter: 19it [51:09, 147.79s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-3.97e+6, acc=1, steps=1, eff=1]
Iter: 20it [51:09, 162.23s/it, beta=0, calls=5120, ESS=4000, logZ=0, logP=-3.97e+6, acc=1, steps=1, eff=1]
Iter: 20it [54:06, 162.23s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-3.37e+6, acc=1, steps=1, eff=1]
Iter: 21it [54:06, 166.88s/it, beta=0, calls=5376, ESS=4000, logZ=0, logP=-3.37e+6, acc=1, steps=1, eff=1]
Iter: 21it [57:08, 166.88s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-1.17e+7, acc=1, steps=1, eff=1]
Iter: 22it [57:08, 171.35s/it, beta=0, calls=5632, ESS=4000, logZ=0, logP=-1.17e+7, acc=1, steps=1, eff=1]
Iter: 22it [1:00:02, 171.35s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-2.75e+6, acc=1, steps=1, eff=1]
Iter: 23it [1:00:02, 172.20s/it, beta=0, calls=5888, ESS=4000, logZ=0, logP=-2.75e+6, acc=1, steps=1, eff=1]
Iter: 23it [1:03:05, 172.20s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-2.75e+6, acc=1, steps=1, eff=1]
Iter: 24it [1:03:05, 175.33s/it, beta=0, calls=6144, ESS=4000, logZ=0, logP=-2.75e+6, acc=1, steps=1, eff=1]
