====
Starting job 9756546 at Tue  3 Mar 11:47:01 GMT 2026 for user dc-guan2.
Running on nodes: m8262
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
0: pk0_box_phmean
2: pk2_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.007587627569834391
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-03 11:47:15.582608 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 0it [00:07, ?it/s, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.73e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:07,  7.17s/it, beta=0, calls=256, ESS=4000, logZ=0, logP=-1.73e+7, acc=1, steps=1, eff=1]
Iter: 1it [00:13,  7.17s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-2.36e+7, acc=1, steps=1, eff=1]
Iter: 2it [00:13,  6.70s/it, beta=0, calls=512, ESS=4000, logZ=0, logP=-2.36e+7, acc=1, steps=1, eff=1]
Iter: 2it [00:20,  6.70s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-1.12e+7, acc=1, steps=1, eff=1]
Iter: 3it [00:20,  6.61s/it, beta=0, calls=768, ESS=4000, logZ=0, logP=-1.12e+7, acc=1, steps=1, eff=1]
Iter: 3it [00:26,  6.61s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-7.4e+6, acc=1, steps=1, eff=1]
Iter: 4it [00:26,  6.46s/it, beta=0, calls=1024, ESS=4000, logZ=0, logP=-7.4e+6, acc=1, steps=1, eff=1]
Iter: 4it [00:32,  6.46s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-1.75e+7, acc=1, steps=1, eff=1]
Iter: 5it [00:32,  6.46s/it, beta=0, calls=1280, ESS=4000, logZ=0, logP=-1.75e+7, acc=1, steps=1, eff=1]
Iter: 5it [00:38,  6.46s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-5.02e+6, acc=1, steps=1, eff=1]
Iter: 6it [00:38,  6.36s/it, beta=0, calls=1536, ESS=4000, logZ=0, logP=-5.02e+6, acc=1, steps=1, eff=1]
Iter: 6it [00:45,  6.36s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-1.16e+7, acc=1, steps=1, eff=1]
Iter: 7it [00:45,  6.53s/it, beta=0, calls=1792, ESS=4000, logZ=0, logP=-1.16e+7, acc=1, steps=1, eff=1]
Iter: 7it [00:51,  6.53s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-1e+7, acc=1, steps=1, eff=1]   
Iter: 8it [00:51,  6.28s/it, beta=0, calls=2048, ESS=4000, logZ=0, logP=-1e+7, acc=1, steps=1, eff=1]
Iter: 8it [00:57,  6.28s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-6.76e+6, acc=1, steps=1, eff=1]
Iter: 9it [00:57,  6.31s/it, beta=0, calls=2304, ESS=4000, logZ=0, logP=-6.76e+6, acc=1, steps=1, eff=1]
Iter: 9it [01:04,  6.31s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-1.2e+7, acc=1, steps=1, eff=1] 
Iter: 10it [01:04,  6.36s/it, beta=0, calls=2560, ESS=4000, logZ=0, logP=-1.2e+7, acc=1, steps=1, eff=1]
Iter: 10it [01:10,  6.36s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-4.89e+7, acc=1, steps=1, eff=1]
Iter: 11it [01:10,  6.42s/it, beta=0, calls=2816, ESS=4000, logZ=0, logP=-4.89e+7, acc=1, steps=1, eff=1]
Iter: 11it [01:17,  6.42s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.21e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:17,  6.38s/it, beta=0, calls=3072, ESS=4000, logZ=0, logP=-1.21e+7, acc=1, steps=1, eff=1]
Iter: 12it [01:23,  6.38s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-5.46e+6, acc=1, steps=1, eff=1]
Iter: 13it [01:23,  6.32s/it, beta=0, calls=3328, ESS=4000, logZ=0, logP=-5.46e+6, acc=1, steps=1, eff=1]
Iter: 13it [01:30,  6.32s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-1.23e+7, acc=1, steps=1, eff=1]
Iter: 14it [01:30,  6.43s/it, beta=0, calls=3584, ESS=4000, logZ=0, logP=-1.23e+7, acc=1, steps=1, eff=1]
Iter: 14it [01:36,  6.43s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-8.4e+6, acc=1, steps=1, eff=1] 
Iter: 15it [01:36,  6.29s/it, beta=0, calls=3840, ESS=4000, logZ=0, logP=-8.4e+6, acc=1, steps=1, eff=1]
Iter: 15it [01:42,  6.29s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-1.98e+7, acc=1, steps=1, eff=1]
Iter: 16it [01:42,  6.24s/it, beta=0, calls=4096, ESS=4000, logZ=0, logP=-1.98e+7, acc=1, steps=1, eff=1]
Iter: 16it [01:48,  6.24s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-2.13e+7, acc=1, steps=1, eff=1]
Iter: 17it [01:48,  6.35s/it, beta=0, calls=4352, ESS=4000, logZ=0, logP=-2.13e+7, acc=1, steps=1, eff=1]
Iter: 17it [01:55,  6.35s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-8.75e+6, acc=1, steps=1, eff=1]
Iter: 18it [01:55,  6.40s/it, beta=0, calls=4608, ESS=4000, logZ=0, logP=-8.75e+6, acc=1, steps=1, eff=1]
Iter: 18it [02:01,  6.40s/it, beta=0, calls=4864, ESS=4000, logZ=0, logP=-6.22e+6, acc=1, steps=1, eff=1]
